label,area,centroid-0,centroid-1,seg_label,morphology,row_number,column_number,right_to_left
338,512.0,1805.90625,1655.2421875,338,intact,9,1,-37
343,413.0,1810.0653753026634,1693.544794188862,343,intact,9,2,-36
347,674.0,1809.7581602373887,1765.3961424332344,347,intact,9,3,-35
344,466.0,1811.2982832618027,1810.6115879828326,344,intact,9,4,-34
350,473.0,1811.0211416490486,1869.7801268498943,350,intact,9,5,-33
348,361.0,1811.8614958448754,1920.8337950138505,348,intact,9,6,-32
345,579.0,1811.245250431779,1986.915371329879,345,intact,9,7,-31
346,344.0,1811.4970930232557,2033.7790697674418,346,intact,9,8,-30
351,661.0,1812.4130105900151,2108.231467473525,351,intact,9,9,-29
352,286.0,1812.9055944055945,2157.041958041958,352,intact,9,10,-28
355,516.0,1813.6298449612402,2212.6065891472867,355,intact,9,11,-27
349,390.0,1813.5179487179487,2265.597435897436,349,intact,9,12,-26
353,536.0,1814.0541044776119,2325.3619402985073,353,intact,9,13,-25
356,436.0,1815.2270642201836,2375.2247706422017,356,intact,9,14,-24
357,583.0,1814.5214408233276,2447.222984562607,357,intact,9,15,-23
354,263.0,1814.5171102661598,2492.1787072243346,354,intact,9,16,-22
358,595.0,1816.2857142857142,2554.529411764706,358,intact,9,17,-21
359,413.0,1818.496368038741,2608.878934624697,359,intact,9,18,-20
360,671.0,1819.9627421758569,2669.160953800298,360,intact,9,19,-19
361,468.0,1820.5128205128206,2723.0235042735044,361,intact,9,20,-18
362,475.0,1819.9705263157896,2783.271578947368,362,intact,9,21,-17
365,471.0,1821.6263269639066,2832.8492569002124,365,intact,9,22,-16
367,620.0,1822.8387096774193,2901.7145161290323,367,intact,9,23,-15
366,310.0,1820.983870967742,2952.4548387096775,366,intact,9,24,-14
370,439.0,1824.2232346241458,3010.9658314350795,370,spoilt,9,30,-14
370,648.0,1822.1570718575274,3025.444638205578,370_363,combined,9,25,-13
363,209.0,1820.090909090909,3039.9234449760766,363,spoilt,9,31,-13
368,311.0,1824.2218649517686,3081.234726688103,368,intact,9,26,-12
371,522.0,1824.9980842911878,3124.4233716475096,371,intact,9,27,-11
364,440.0,1824.3613636363636,3186.052272727273,364,intact,9,28,-10
369,551.0,1825.410163339383,3245.693284936479,369,intact,9,29,-9
372,405.0,1826.6814814814816,3298.520987654321,372,intact,9,30,-8
373,570.0,1826.1,3361.3245614035086,373,intact,9,31,-7
377,269.0,1828.4572490706319,3407.171003717472,377,intact,9,32,-6
375,573.0,1826.369982547993,3464.2931937172775,375,intact,9,33,-5
378,486.0,1827.812757201646,3513.067901234568,378,intact,9,34,-4
376,449.0,1827.904231625835,3566.930957683742,376,intact,9,35,-3
374,485.0,1827.9525773195876,3617.7958762886597,374,intact,9,36,-2
379,360.0,1828.35,3670.7305555555554,379,intact,9,37,-1
385,575.0,1862.5634782608695,1653.7095652173914,385,intact,10,1,-37
381,365.0,1863.7369863013698,1696.8986301369864,381,intact,10,2,-36
389,543.0,1863.5561694290975,1760.705340699816,389,intact,10,3,-35
386,493.0,1865.8782961460447,1813.578093306288,386,intact,10,4,-34
387,368.0,1863.9565217391305,1865.0570652173913,387,intact,10,5,-33
390,334.0,1865.2574850299402,1915.3383233532934,390,intact,10,6,-32
391,508.0,1865.2303149606298,1984.8661417322835,391,intact,10,7,-31
392,370.0,1866.2648648648649,2032.427027027027,392,intact,10,8,-30
393,581.0,1867.0068846815834,2106.077452667814,393,intact,10,9,-29
395,335.0,1869.4746268656716,2157.8985074626867,395,intact,10,10,-28
394,633.0,1867.605055292259,2211.5434439178516,394,intact,10,11,-27
397,362.0,1869.0690607734807,2265.966850828729,397,intact,10,12,-26
396,507.0,1869.629191321499,2326.769230769231,396,intact,10,13,-25
398,377.0,1870.342175066313,2374.7002652519895,398,intact,10,14,-24
399,643.0,1870.51166407465,2448.9797822706064,399,intact,10,15,-23
400,277.0,1871.2960288808665,2490.1119133574007,400,intact,10,16,-22
401,551.0,1872.7695099818511,2560.196007259528,401,intact,10,17,-21
402,401.0,1873.6483790523691,2606.189526184539,402,intact,10,18,-20
404,611.0,1873.4877250409165,2669.50736497545,404,intact,10,19,-19
403,460.0,1874.371739130435,2723.6326086956524,403,intact,10,20,-18
405,330.0,1874.0030303030303,2777.133333333333,405,intact,10,21,-17
406,383.0,1875.1958224543082,2831.4960835509137,406,intact,10,22,-16
407,665.0,1875.2496240601504,2905.1097744360904,407,intact,10,23,-15
415,355.0,1878.9014084507041,2952.256338028169,415,intact,10,24,-14
409,629.0,1874.9046104928457,3016.8966613672496,409,intact,10,25,-13
410,278.0,1877.3741007194244,3080.478417266187,410,intact,10,26,-12
412,469.0,1877.5565031982942,3128.279317697228,412,intact,10,27,-11
408,373.0,1878.1742627345845,3186.040214477212,408,intact,10,28,-10
413,498.0,1879.0943775100402,3245.1947791164657,413,intact,10,29,-9
418,320.0,1879.159375,3298.375,418,intact,10,30,-8
414,524.0,1878.1393129770993,3357.2843511450383,414,intact,10,31,-7
416,331.0,1878.9214501510573,3406.9728096676736,416,intact,10,32,-6
419,511.0,1880.7514677103718,3462.5557729941293,419,intact,10,33,-5
411,482.0,1879.0829875518673,3511.3817427385893,411,intact,10,34,-4
417,511.0,1880.2348336594912,3567.495107632094,417,intact,10,35,-3
420,471.0,1881.904458598726,3618.1740976645438,420,intact,10,36,-2
421,322.0,1881.9316770186335,3671.9751552795033,421,intact,10,37,-1
422,485.0,1919.2082474226804,1656.4556701030929,422,intact,11,1,-37
427,358.0,1920.8128491620112,1695.282122905028,427,intact,11,2,-36
430,543.0,1921.5101289134439,1761.4843462246777,430,intact,11,3,-35
431,407.0,1923.2899262899264,1811.6683046683047,431,intact,11,4,-34
429,473.0,1922.076109936575,1868.6638477801268,429,intact,11,5,-33
433,447.0,1924.2281879194632,1918.6442953020135,433,intact,11,6,-32
432,397.0,1924.0377833753148,1990.4962216624685,432,intact,11,7,-31
436,246.0,1926.0325203252032,2035.7439024390244,436,intact,11,8,-30
434,534.0,1924.9550561797753,2103.318352059925,434,intact,11,9,-29
437,303.0,1927.2013201320133,2155.191419141914,437,intact,11,10,-28
435,516.0,1925.2674418604652,2215.7868217054265,435,intact,11,11,-27
438,359.0,1926.8356545961003,2267.924791086351,438,intact,11,12,-26
440,500.0,1928.042,2326.87,440,intact,11,13,-25
441,403.0,1928.0173697270473,2375.4962779156326,441,intact,11,14,-24
443,543.0,1927.5340699815838,2446.513812154696,443,intact,11,15,-23
439,307.0,1928.4169381107492,2492.6254071661238,439,intact,11,16,-22
442,569.0,1929.0386643233744,2561.5448154657292,442,intact,11,17,-21
